Asian Longhorned Beetle,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/asian-longhorned-beetle/ct_asian_longhorned_beetle
Boll Weevil,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/cotton-pests/ct_cotton_pests_home
Pink Bollworm,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/cotton-pests/ct_cotton_pests_home
Drosophila Suzukii,https://www.aphis.usda.gov/publications/plant_health/content/printable_version/Drosophila_Suzukii.pdf
Emerald Ash Borer,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/european-grapevine-moth/ct_european_grapevine_moth
European grapevine moth,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/european-grapevine-moth/ct_european_grapevine_moth
Fruit flies,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/fruit-flies/ct_fruit_flies_home
Gypsy moth,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/grasshopper-mormon-cricket/ct_grasshopper_mormon_cricket
Japanese Beetles,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/japanese-beetle/ct_japanese_beetle
Light brown apple moth,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/light-brown-apple-moth/ct_lbam_home
Old world bollworm,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/old-world-bollworm
Pine shoot beetle,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/pine-shoot-beetle/ct_pine_shoot_beetle
Palm weevil,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/palm-weevil-information/ct_palm_weevil
Giant African Snails,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/giant-african-snail/ct_giant_african_snail_home
Golden Nematodes,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/sa_nematode/ct_nematodes
Pale Cyst Nematode,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/sa_nematode/sa_potato/ct_pcn_home
Barberry black stem rust,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/sa_plant_disease/sa_barberry/ct_barberry
Chrysanthemum White Rust,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/sa_plant_disease/sa_cwr/ct_chrysanthemum_white_rust
Citrus Black Spot,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/citrus-health-response-program/ct_citrus_health_response_program
Citrus Canker,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/citrus-health-response-program/ct_citrus_health_response_program
Huanglongbing <HLB>,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/citrus-health-response-program/ct_citrus_health_response_program
Sweet Orange Scab,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/citrus-health-response-program/ct_citrus_health_response_program
European Larch Canker,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/sa_plant_disease/sa_elc/ct_european_larch_canker
Gladiolus Rust,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/sa_plant_disease/sa_gladiolus_rust/ct_gladiolus_rust
Karnal Bunt,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/karnal-bunt/ct_karnal_bunt
Phyophtora ramorum <Sudden Oak Death>,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/phytophthora-ramorum/ct_phytophthora_ramorum_sudden_oak_death
Plum Pox,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/plum-pox/ct_plum_pox
Dickeya,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/sa_nematode/sa_potato/ct_dickeya
Potato Virus Y,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/sa_nematode/sa_potato/ct_pvy_main
Potato Wart,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/sa_nematode/sa_potato/ct_potatowart
Ralstonia,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/sa_plant_disease/sa_ralstonia/ct_ralstonia
Soybean Rust,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/sa_plant_disease/sa_soy_bean_rust/ct_soybean_rust
Thousand Cankers Disease,https://www.aphis.usda.gov/aphis/ourfocus/planthealth/plant-pest-and-disease-programs/pests-and-diseases/thousand-cankers-disease/ct_thousand_cankers_disease
